"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000268027.1",213.083334091858,-4.22937452587323,0.46217337641661,-9.15105616568622,5.63796048216116e-20,6.18931413483044e-17,NA,NA
"ENSG00000122188.8",243.322411528028,-5.00970097104303,0.547798525282329,-9.14515235042133,5.95458723045373e-20,6.3190079689575e-17,"LAX1","54900"
"ENSG00000167895.10",4435.64786423233,-4.40989253216615,0.483755334132049,-9.1159563957643,7.7979608632311e-20,8.00825425941372e-17,"TMC8","147138"
"ENSG00000198286.5",936.587209618869,-4.03580062565882,0.443098684962441,-9.10813045179972,8.38137454734467e-20,8.33842000278953e-17,"CARD11","84433"
"ENSG00000241106.2",559.068245981536,-4.95746614463755,0.54471854860012,-9.10096811899984,8.9530162699146e-20,8.63721896875761e-17,"HLA-DOB","3112"
"ENSG00000079263.14",583.139700161918,-4.68168855711119,0.515577999685442,-9.08046611757585,1.08110862210756e-19,9.87931839979857e-17,"SP140","11262"
"ENSG00000137265.10",999.200550010676,-5.34634957832523,0.588807413275271,-9.07996308773678,1.08611679857064e-19,9.87931839979857e-17,"IRF4","3662"
"ENSG00000048462.6",106.859406780782,-5.77592459009459,0.638703467959057,-9.04320217416581,1.52148119741481e-19,1.34549653891383e-16,"TNFRSF17","608"
"ENSG00000083454.17",1089.50120010501,-5.75242417662174,0.636467912057474,-9.03804271613035,1.59502045665697e-19,1.37240733130084e-16,"P2RX5","5026"
"ENSG00000124256.10",434.261065852918,-4.8968327598816,0.543293680673385,-9.01323342066528,2.00068848105007e-19,1.676155749545e-16,"ZBP1","81030"
"ENSG00000172794.15",443.676547042928,-3.62722292475504,0.403198026681306,-8.99613263142792,2.3380878985825e-19,1.90859913690442e-16,"RAB37","326624"
"ENSG00000104814.8",1176.09946831037,-4.08807476565847,0.455533379479227,-8.97425951602497,2.85264080180354e-19,2.27041681415544e-16,"MAP4K1","11184"
"ENSG00000205744.5",1677.53722370071,-3.02956110042366,0.337990972747,-8.9634379161109,3.14709795142372e-19,2.44368318003721e-16,"DENND1C","79958"
"ENSG00000211668.2",1675.53880917455,-7.91554725527893,0.883816505190195,-8.95609802350945,3.36370969257128e-19,2.54969194696903e-16,NA,NA
"ENSG00000266088.1",96.9243265742887,-5.38202297466955,0.60150322658637,-8.94762112119235,3.63225308988481e-19,2.68921882254821e-16,NA,NA
"ENSG00000238121.1",219.103715384991,-4.26599790851521,0.479217258858748,-8.90201224946415,5.48432148401989e-19,3.87147271266386e-16,"LINC00426","100188949"
"ENSG00000234883.2",212.142581261867,-3.83813598812274,0.431196295058191,-8.90113396638709,5.52789892923509e-19,3.87147271266386e-16,"MIR155HG","114614"
"ENSG00000182866.12",1119.51854887169,-3.76898689798223,0.423490406878369,-8.89981646990347,5.59391081739344e-19,3.87147271266386e-16,"LCK","3932"
"ENSG00000007312.8",917.110104771954,-4.2536375650996,0.480414604476711,-8.85409711832732,8.43639083025717e-19,5.71448805259718e-16,"CD79B","974"
"ENSG00000211941.2",588.771821957335,-7.35790142002125,0.834320902191233,-8.81903042426086,1.15455069380987e-18,7.65755747669395e-16,NA,NA
"ENSG00000162892.11",296.069676350192,-4.12063140891679,0.467423312744799,-8.8156309207593,1.19012937351018e-18,7.73244055817757e-16,"IL24","11009"
"ENSG00000143297.14",1736.20883225499,-7.48049967704612,0.84965973604612,-8.80411223421804,1.31892358324104e-18,8.39785023921233e-16,"FCRL5","83416"
"ENSG00000117322.12",949.832144788634,-7.16792822789158,0.815044513490877,-8.7945236232448,1.43656146673112e-18,8.92968719450837e-16,"CR2","1380"
"ENSG00000156738.13",5485.43418609303,-7.3508438698967,0.8360054823005,-8.79281778113323,1.45854923393151e-18,8.92968719450837e-16,"MS4A1","931"
"ENSG00000270164.1",220.971633299352,-3.63802364021375,0.414354301948419,-8.77998279034793,1.63499673956e-18,9.79704664476298e-16,"LINC01480","101927931"
"ENSG00000163568.9",248.597861824807,-5.14541857648061,0.586161676090021,-8.77815590197403,1.66176818324287e-18,9.79704664476298e-16,"AIM2","9447"
